format,dataset,operation,median_ns,mean_ns,p95_ns,p99_ns,min_ns,max_ns,stddev_ns,cv_pct,throughput_mbps,serialized_size,runs
surp,mixed_api_events,decode,2621584,2626733,2661916,2661916,2602916,2661916,22150,0.84,744.5,1951782,10
surp,mixed_api_events,roundtrip,4372125,4370179,4401000,4401000,4346042,4401000,19338,0.44,-,-,10
surp_dedup,mixed_api_events,encode,8257875,8246512,8345834,8345834,8140542,8345834,62542,0.76,352.1,2907531,10
surp_dedup,mixed_api_events,decode,5411000,5429029,5647375,5647375,5363834,5647375,80571,1.48,537.3,2907531,10
json,mixed_api_events,encode,2090666,2088633,2108834,2108834,2069000,2108834,12603,0.60,1016.3,2124706,10
json,mixed_api_events,decode,7884750,7886700,7939417,7939417,7833834,7939417,31935,0.40,269.5,2124706,10
json,mixed_api_events,roundtrip,9973875,9967117,10089209,10089209,9855542,10089209,58627,0.59,-,-,10
msgpack,mixed_api_events,encode,1495708,1499946,1529667,1529667,1484875,1529667,14439,0.96,1225.4,1832783,10
msgpack,mixed_api_events,decode,6750000,6746433,6792792,6792792,6719250,6792792,27108,0.40,271.5,1832783,10
msgpack,mixed_api_events,roundtrip,8247583,8580046,11490750,11490750,8203375,11490750,1023828,11.93,-,-,10
cbor,mixed_api_events,encode,1827625,1825729,1831250,1831250,1819666,1831250,4084,0.22,1002.9,1832844,10
cbor,mixed_api_events,decode,12641334,12653742,12749958,12749958,12589625,12749958,51660,0.41,145.0,1832844,10
cbor,mixed_api_events,roundtrip,14649666,15402387,19247459,19247459,14316375,19247459,1735969,11.27,-,-,10
protobuf,mixed_api_events,encode,4224042,4202075,4508708,4508708,4052250,4508708,136711,3.25,543.5,2295615,10
protobuf,mixed_api_events,decode,10060958,10118471,10555042,10555042,9916708,10555042,205139,2.03,228.2,2295615,10
protobuf,mixed_api_events,roundtrip,14471500,14416429,14829083,14829083,14046083,14829083,336183,2.33,-,-,10
surp,numeric_heavy,encode,6345750,6273179,6403542,6403542,6031916,6403542,137440,2.19,617.8,3920531,10
surp,numeric_heavy,decode,7546292,7850912,11363125,11363125,7283208,11363125,1242093,15.82,519.5,3920531,10
surp,numeric_heavy,roundtrip,14807708,14762971,15401000,15401000,14270291,15401000,360802,2.44,-,-,10
surp_dedup,numeric_heavy,encode,5721833,5747708,6226084,6226084,5580208,6226084,187039,3.25,685.2,3920531,10
surp_dedup,numeric_heavy,decode,8164250,8159159,8341042,8341042,8009125,8341042,98181,1.20,480.2,3920531,10
json,numeric_heavy,encode,8414958,8591338,9485958,9485958,8278542,9485958,426325,4.96,743.8,6258769,10
json,numeric_heavy,decode,25459750,25367612,25722542,25722542,25002000,25722542,286209,1.13,245.8,6258769,10
json,numeric_heavy,roundtrip,34742791,34573121,34990625,34990625,34181458,34990625,291448,0.84,-,-,10
msgpack,numeric_heavy,encode,4879625,4877375,4915250,4915250,4833750,4915250,25631,0.53,746.5,3642410,10
msgpack,numeric_heavy,decode,18946125,18941033,19098875,19098875,18862125,19098875,86207,0.46,192.3,3642410,10
msgpack,numeric_heavy,roundtrip,24546000,24472625,24700750,24700750,24128291,24700750,191572,0.78,-,-,10
cbor,numeric_heavy,encode,5652125,5813054,6287709,6287709,5614958,6287709,283350,4.87,642.2,3629913,10
cbor,numeric_heavy,decode,42492541,41209125,42865500,42865500,38098959,42865500,1881784,4.57,85.4,3629913,10
cbor,numeric_heavy,roundtrip,49614583,48743100,51327125,51327125,44915250,51327125,2182995,4.48,-,-,10
protobuf,numeric_heavy,encode,11414750,11124204,11708875,11708875,10536500,11708875,509050,4.58,457.3,5220498,10
protobuf,numeric_heavy,decode,26670625,26298125,27209542,27209542,24961584,27209542,704676,2.68,195.7,5220498,10
protobuf,numeric_heavy,roundtrip,38182500,37652117,39011209,39011209,34584875,39011209,1333034,3.54,-,-,10
